year;month;day;hour;cod_unico;terminal_id;agent_name;entity;operation;service;transaction_type;channel;cant_trx;transaction_amount;ubigeo
2025;7;10;17;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;TELEFONICA;Recaudo;App;1;27.9;060901
2025;6;18;11;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;TELEFONICA;Recaudo;App;1;39.9;060901
2025;8;7;17;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;CLARO RECARGAS;Recaudo;App;1;5;060901
2025;5;9;10;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;TELEFONICA;Recaudo;App;3;109;060901
2025;6;6;12;218111;21811201;ZAPATERIA OZIEL;Banbif;Pago de Recaudo;MOVISTAR RECARGAS;Recaudo;App;1;4.77;060901
2025;8;27;8;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;CLARO;Recaudo;App;1;37.45;060901
2025;10;7;18;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;CLARO;Recaudo;App;1;30.86;060901
2025;5;22;16;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;ENTEL;Recaudo;App;2;279.88;060901
2025;5;4;9;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;CLARO;Recaudo;App;2;79.9;060901
2025;8;30;10;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;PAYJOY ADELANTOS;Recaudo;App;1;100.35;060901
2025;5;7;14;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;BITEL;Recaudo;App;2;99.8;060901
2025;8;21;15;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;ENTEL;Recaudo;App;1;29.85;060901
2025;9;27;10;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;BITEL RECARGAS;Recaudo;App;2;10;060901
2025;5;6;16;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;ENTEL;Recaudo;App;1;35.9;060901
2025;9;12;18;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;BITEL;Recaudo;App;1;30.9;060901
2025;6;2;18;218111;21811201;ZAPATERIA OZIEL;Banbif;Pago de Recaudo;MOVISTAR RECARGAS;Recaudo;App;1;9.55;060901
2025;9;5;14;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;CLARO RECARGAS;Recaudo;App;2;10;060901
2025;10;6;9;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;CLARO RECARGAS;Recaudo;App;1;5;060901
2025;8;21;14;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;CLARO;Recaudo;App;1;74.9;060901
2025;6;13;9;218111;21811201;ZAPATERIA OZIEL;Globokas;Pago de Recaudo;ENTEL;Recaudo;App;1;32.9;060901
